name,seguid,path
pGREG505.gb,cdseguid=cr9QvaW0QQWgiRNmG3W-ebeCQK0,/home/bjorn/python_packages/pydna/scripts/pGUP1-2/pGREG505.gb
pGREG505.gb,cdseguid=cr9QvaW0QQWgiRNmG3W-ebeCQK0,/home/bjorn/python_packages/pydna/tests/pGREG505.gb
pGREG505.gb,ldseguid=CSnV8nXiwn4_SI4hxxXk7WdLda8,/home/bjorn/Teaching/MetabolicEngineeringCourse2023/_material/MetabolicEngineeringCourse2018/MetabolicEngineeringCourse2018_public/pGREG505.gb
pGREG505.gb,ldseguid=CSnV8nXiwn4_SI4hxxXk7WdLda8,/home/bjorn/Teaching/MetabolicEngineeringCourse2023/_material/MetabolicEngineeringCourse2018/pGREG505.gb
pGREG505.gb,ldseguid=CSnV8nXiwn4_SI4hxxXk7WdLda8,/home/bjorn/Teaching/MetabolicEngineeringCourse2023/_material/MetabolicEngineeringCourse2021/_material/MetabolicEngineeringCourse2018/MetabolicEngineeringCourse2018_public/pGREG505.gb
pGREG505.gb,ldseguid=CSnV8nXiwn4_SI4hxxXk7WdLda8,/home/bjorn/Teaching/MetabolicEngineeringCourse2023/_material/MetabolicEngineeringCourse2021/_material/MetabolicEngineeringCourse2018/pGREG505.gb
pGREG505.gb,ldseguid=CSnV8nXiwn4_SI4hxxXk7WdLda8,/home/bjorn/Teaching/MetabolicEngineeringCourse2023/_material/MetabolicEngineeringCourse2022/old/_material/MetabolicEngineeringCourse2018/MetabolicEngineeringCourse2018_public/pGREG505.gb
pGREG505.gb,ldseguid=CSnV8nXiwn4_SI4hxxXk7WdLda8,/home/bjorn/Teaching/MetabolicEngineeringCourse2023/_material/MetabolicEngineeringCourse2022/old/_material/MetabolicEngineeringCourse2018/pGREG505.gb
pGSHU 7180bp.gb,cdseguid=2Ur7X6FTm8I7lQzF_qcu4fb89Bo,/home/bjorn/myvault/files/ARCHIVE/2016-07-17/pydna/tests/pGSHU 7180bp.gb
pGSHU 7180bp.gb,cdseguid=2Ur7X6FTm8I7lQzF_qcu4fb89Bo,/home/bjorn/myvault/files/ARCHIVE/2016-07-17/pydna3/tests/pGSHU 7180bp.gb
pGSHU 7180bp.gb,cdseguid=2Ur7X6FTm8I7lQzF_qcu4fb89Bo,/home/bjorn/myvault/files/ARCHIVE/2016-07-17/pydna_old/tests/pGSHU 7180bp.gb
pGSHU 7180bp.gb,cdseguid=2Ur7X6FTm8I7lQzF_qcu4fb89Bo,/home/bjorn/python_packages/ShareYourCloning_backend/test_files/pGSHU 7180bp.gb
pGSHU 7180bp.gb,cdseguid=2Ur7X6FTm8I7lQzF_qcu4fb89Bo,/home/bjorn/python_packages/pydna/tests/pGSHU 7180bp.gb
pGSKU 6961bp.gb,cdseguid=l3jinDP_6vluvcX9XfsqdBbmEC8,/home/bjorn/myvault/files/ARCHIVE/2016-07-17/pydna/tests/pGSKU 6961bp.gb
pGSKU 6961bp.gb,cdseguid=l3jinDP_6vluvcX9XfsqdBbmEC8,/home/bjorn/myvault/files/ARCHIVE/2016-07-17/pydna3/tests/pGSKU 6961bp.gb
